date,equity,cash
2023-05-05,102558.0,78024.0
2023-05-08,102558.0,78024.0
2023-05-09,102558.0,78024.0
2023-05-10,102558.0,78024.0
2023-05-11,102558.0,78024.0
2023-05-12,102558.0,78024.0
2023-05-15,102558.0,78024.0
2023-05-16,102286.0,92695.0
2023-05-17,102286.0,92695.0
2023-05-18,102286.0,92695.0
2023-05-19,102286.0,92695.0
2023-05-22,102286.0,92695.0
2023-05-23,102286.0,92695.0
2023-05-24,102286.0,92695.0
2023-05-25,102286.0,92695.0
2023-05-26,102286.0,92695.0
2023-05-29,102286.0,92695.0
2023-05-30,102286.0,92695.0
2023-05-31,102286.0,92695.0
2023-06-01,102286.0,92695.0
2023-06-02,102286.0,92695.0
2023-06-05,102286.0,92695.0
2023-06-06,102286.0,92695.0
2023-06-07,102286.0,92695.0
2023-06-08,102286.0,92695.0
2023-06-09,102285.0,77545.0
2023-06-12,102285.0,77545.0
2023-06-13,102285.0,77545.0
2023-06-14,102285.0,77545.0
2023-06-15,102285.0,77545.0
2023-06-16,102285.0,77545.0
2023-06-19,102285.0,77545.0
2023-06-20,102285.0,77545.0
2023-06-21,102285.0,77545.0
2023-06-22,102285.0,77545.0
2023-06-23,102285.0,77545.0
2023-06-26,102285.0,77545.0
2023-06-27,102285.0,77545.0
2023-06-28,102285.0,77545.0
2023-06-29,102285.0,77545.0
2023-06-30,102285.0,77545.0
2023-07-03,102285.0,77545.0
2023-07-04,102285.0,77545.0
2023-07-05,102285.0,77545.0
2023-07-06,102285.0,77545.0
2023-07-07,102285.0,77545.0
2023-07-10,102285.0,77545.0
2023-07-11,102285.0,77545.0
2023-07-12,102285.0,77545.0
2023-07-13,102285.0,77545.0
2023-07-14,102285.0,77545.0
2023-07-17,102285.0,77545.0
2023-07-18,102285.0,77545.0
2023-07-19,102285.0,77545.0
2023-07-20,102285.0,77545.0
2023-07-21,102285.0,77545.0
2023-07-24,102285.0,77545.0
2023-07-25,102285.0,77545.0
2023-07-26,102285.0,77545.0
2023-07-27,100907.0,100907.0
2023-07-28,100907.0,100907.0
2023-07-31,100907.0,100907.0
2023-08-01,100907.0,100907.0
2023-08-02,100907.0,100907.0
2023-08-03,100907.0,100907.0
2023-08-04,100907.0,100907.0
2023-08-07,100907.0,100907.0
2023-08-08,100907.0,100907.0
